tag,status,category,post_count,alias_candidates,raw_variants,locations
(fate/stay_night),not_in_snapshot,,,[],"[""(Fate/stay_night)""]","[""작품 / 캐릭터 / Fate/stay night / 라이더 Rider "", ""작품 / 캐릭터 / Fate/stay night / 세이버 Saber ""]"
*_light_particle,placeholder_review,,,[],"[""*_light_particle""]","[""기본 / 연출 / 효과 / 반짝이는 입자 효과""]"
*_swirling_around_the_character,placeholder_review,,,[],"[""*_swirling_around_the_character""]","[""기본 / 연출 / 효과 / 캐릭터 주변을 휘몰아치는 효과""]"
00s-anime-aesthetic,not_in_snapshot,,,[],"[""00s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 00년대""]"
10s-anime-aesthetic,not_in_snapshot,,,[],"[""10s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 10년대""]"
11_line_abs,not_in_snapshot,,,[],"[""11_line_abs""]","[""체형 / 몸 / 모양 / 복근이 매끈하다""]"
1boy,snapshot_match,0,2129229,[],"[""1boy""]","[""인물 / 인원 / 남성 / 남성 1명 ""]"
1girl,snapshot_match,0,8406616,[],"[""1girl""]","[""인물 / 인원 / 여성 / 여성 1명""]"
1koma,snapshot_match,0,6545,[],"[""1koma""]","[""기본 / 연출 / 컷 / 1컷""]"
1other,snapshot_match,0,128887,[],"[""1other""]","[""인물 / 인원 / 숫자 / 1명""]"
20s-anime-aesthetic,not_in_snapshot,,,[],"[""20s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 20년대""]"
2_roe2,not_in_snapshot,,,[],"[""2_Roe2""]","[""작품 / 캐릭터 / 로그 호라이즌 / 로에""]"
2boys,snapshot_match,0,467780,[],"[""2boys""]","[""인물 / 인원 / 남성 / 남성 2명""]"
2girls,snapshot_match,0,1437352,[],"[""2girls""]","[""인물 / 인원 / 여성 / 여성 2명""]"
2hugging_doable_by_two_or_more_characters,not_in_snapshot,,,[],"[""2Hugging_doable_by_two_or_more_characters""]","[""동작 1 / 몸 / 껴안다 / 2명 이상을 포옹하다""]"
2koma,snapshot_match,0,50310,[],"[""2koma""]","[""기본 / 연출 / 컷 / 2컷""]"
2others,snapshot_match,0,14811,[],"[""2others""]","[""인물 / 인원 / 숫자 / 2명""]"
2posture_of_at_least_two_characters,not_in_snapshot,,,[],"[""2Posture_of_at_least_two_characters""]","[""동작 1 / 몸 / 껴안다 / 2명 이상을 껴안다""]"
30s-anime-aesthetic,not_in_snapshot,,,[],"[""30s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 30년대""]"
3boys,snapshot_match,0,105712,[],"[""3boys""]","[""인물 / 인원 / 남성 / 남성 3명""]"
3d_glasses,snapshot_match,0,524,[],"[""3d_glasses""]","[""장신구 / 얼굴 장식 / 안경 / 3D 안경""]"
3girls,snapshot_match,0,327770,[],"[""3girls""]","[""인물 / 인원 / 여성 / 여성 3명""]"
3koma,snapshot_match,0,27040,[],"[""3koma""]","[""기본 / 연출 / 컷 / 3컷""]"
3others,snapshot_match,0,4734,[],"[""3others""]","[""인물 / 인원 / 숫자 / 3명""]"
40s-anime-aesthetic,not_in_snapshot,,,[],"[""40s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 40년대""]"
4boys,snapshot_match,0,47089,[],"[""4boys""]","[""인물 / 인원 / 남성 / 남성 4명""]"
4girls,snapshot_match,0,145566,[],"[""4girls""]","[""인물 / 인원 / 여성 / 여성 4명""]"
4koma,snapshot_match,0,117910,[],"[""4koma""]","[""기본 / 연출 / 컷 / 4컷""]"
4others,snapshot_match,0,2100,[],"[""4others""]","[""인물 / 인원 / 숫자 / 4명""]"
50s-anime-aesthetic,not_in_snapshot,,,[],"[""50s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 50년대""]"
5_baby_5,not_in_snapshot,,,[],"[""5_Baby_5""]","[""작품 / 캐릭터 / 원피스 / 베이비""]"
5boys,snapshot_match,0,21384,[],"[""5boys""]","[""인물 / 인원 / 남성 / 남성 5명""]"
5girls,snapshot_match,0,75055,[],"[""5girls""]","[""인물 / 인원 / 여성 / 여성 5명""]"
5koma,snapshot_match,0,4737,[],"[""5koma""]","[""기본 / 연출 / 컷 / 5컷""]"
5others,snapshot_match,0,1065,[],"[""5others""]","[""인물 / 인원 / 숫자 / 5명""]"
6+boys,snapshot_match,0,42615,[],"[""6+boys""]","[""인물 / 인원 / 남성 / 남성 6명""]"
6+girls,snapshot_match,0,107570,[],"[""6+girls""]","[""인물 / 인원 / 여성 / 여성 6명""]"
60s-anime-aesthetic,not_in_snapshot,,,[],"[""60s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 60년대""]"
6others,alias_candidate_unverified,,,"[""6+others""]","[""6others""]","[""인물 / 인원 / 숫자 / 6명""]"
70s-anime-aesthetic,not_in_snapshot,,,[],"[""70s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 70년대""]"
8-bit_eight_bit_inc.,not_in_snapshot,,,[],"[""8-bit_Eight_Bit_Inc.""]","[""작품 / 작품 / 제작 / 8-bit Eight Bit Inc.""]"
80s-anime-aesthetic,not_in_snapshot,,,[],"[""80s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 80년대""]"
90s-anime-aesthetic,not_in_snapshot,,,[],"[""90s-anime-aesthetic""]","[""기본 / 테마 / 연도 / 90년대""]"
:_kurona_yasuhisa,not_in_snapshot,,,[],"["":_Kurona_Yasuhisa""]","[""작품 / 캐릭터 / 도쿄 구울 / 야시후사 쿠로나""]"
a-1_pictures,not_in_snapshot,,,[],"[""A-1_Pictures""]","[""작품 / 작품 / 제작 / A-1 Pictures""]"
a_basketball_player.,not_in_snapshot,,,[],"[""a_basketball_player.""]","[""인물 / 직업 / 운동 / 농구선수""]"
a_mixed_eastern_blood,not_in_snapshot,,,[],"[""a_mixed_Eastern_blood""]","[""인물 / 인종 / 피부색 / 동앙계 혼혈""]"
a_mixed_race_of_black_people,not_in_snapshot,,,[],"[""a_mixed_race_of_black_people""]","[""인물 / 인종 / 피부색 / 흑인계 혼혈""]"
a_mixed_race_of_white_blood,not_in_snapshot,,,[],"[""a_mixed_race_of_white_blood""]","[""인물 / 인종 / 피부색 / 백인계 혼혈""]"
abigail_williams,not_in_snapshot,,,[],"[""Abigail_Williams""]","[""작품 / 캐릭터 / Fate/Grand order / 아비게일 윌리엄스""]"
abigail_williams_(swimsuit_summer),not_in_snapshot,,,[],"[""Abigail_Williams_(Swimsuit_Summer)""]","[""작품 / 캐릭터 / Fate/Grand order / 아비게일 윌리엄스(수영복)""]"
absurdly_long_hair,snapshot_match,0,29975,[],"[""absurdly_long_hair""]","[""외모 / 머리카락 / 모양 / 머리카락이 엄청 길다""]"
absurdly_short_hair,not_in_snapshot,,,[],"[""absurdly_short_hair""]","[""외모 / 머리카락 / 모양 / 머리카락이 엄청 짧다""]"
acrylic_paint,alias_candidate_unverified,,,"[""acrylic_paint_(medium)""]","[""acrylic_paint""]","[""기본 / 테마 / 도구 / 아크릴 물감""]"
actor,snapshot_match,0,161,[],"[""actor""]","[""인물 / 직업 / 예술 / 남성 배우""]"
actress,snapshot_match,0,90,[],"[""actress""]","[""인물 / 직업 / 예술 / 여성 배우""]"
adhesive_bra,snapshot_match,0,434,[],"[""adhesive_bra""]","[""의상 / 속옷 / 브래지어 / 접착 브래지어""]"
adjusting_bra,snapshot_match,0,633,[],"[""adjusting_bra""]","[""동작 2 / 브래지어 / 행동 / 브래지어를 고치다""]"
adjusting_clothes,snapshot_match,0,36168,[],"[""adjusting_clothes""]","[""동작 2 / 의상 / 행동 / 옷을 고치다""]"
adjusting_earrings,snapshot_match,0,134,[],"[""adjusting_earrings""]","[""동작 2 / 귀걸이 / 행동 / 귀걸이를 고치다""]"
adjusting_eyewear,snapshot_match,0,31688,[],"[""adjusting_eyewear""]","[""동작 1 / 손 / 올리다 / 손을 안경에 올리다"", ""동작 2 / 안경 / 행동 / 안경을 조정하다""]"
adjusting_headwear,snapshot_match,0,12324,[],"[""adjusting_headwear""]","[""동작 2 / 모자 / 행동 / 모자를 고치다""]"
adjusting_legwear,snapshot_match,0,1812,[],"[""adjusting_legwear""]","[""동작 2 / 양말 / 행동 / 양말을 고치다""]"
adjusting_panties,snapshot_match,0,1166,[],"[""adjusting_panties""]","[""동작 2 / 팬티 / 행동 / 팬티를 고치다""]"
adjusting_swimsuit,snapshot_match,0,5577,[],"[""adjusting_swimsuit""]","[""동작 2 / 수영복 / 행동 / 수영복을 고치다""]"
adult_video,not_in_snapshot,,,[],"[""Adult_Video""]","[""기본 / 테마 / 포르노 / AV""]"
after_anal,snapshot_match,0,7782,[],"[""after_anal""]","[""!섹스 / 섹스 / 상황 / 여자가 항문으로 섹스했다""]"
after_fellatio,snapshot_match,0,8393,[],"[""after_fellatio""]","[""!섹스 / 섹스 / 펠라치오 / 펠라치오를 했다""]"
after_masturbation,snapshot_match,0,1351,[],"[""after_masturbation""]","[""!섹스 / 섹스 / 자위 / 자위를 했다""]"
after_oral,not_in_snapshot,,,[],"[""after_oral""]","[""!섹스 / 섹스 / 오랄 / 입으로 자지를 빨았다""]"
after_paizuri,snapshot_match,0,3454,[],"[""after_paizuri""]","[""!섹스 / 섹스 / 파이즈리 / 파이즈리를 했다""]"
after_rape,snapshot_match,0,2850,[],"[""after_rape""]","[""!섹스 / 섹스 / 상황 / 여자가 강간을 당했다""]"
after_sex,snapshot_match,0,51783,[],"[""after_sex""]","[""!섹스 / 섹스 / 상황 / 여자가 섹스를 했다""]"
after_vaginal,snapshot_match,0,25899,[],"[""after_vaginal""]","[""!섹스 / 섹스 / 상황 / 여자가 섹스한 뒤 보지를 보여준다""]"
afterglow,snapshot_match,0,1222,[],"[""afterglow""]","[""!섹스 / 섹스 / 상황 / 여자가 섹스한 뒤 기뻐하다""]"
against_glass,snapshot_match,0,10092,[],"[""against_glass""]","[""동작 1 / 몸 / 기대다 / 몸을 펜스에 기대다""]"
against_tree,snapshot_match,0,3326,[],"[""against_tree""]","[""동작 1 / 몸 / 기대다 / 몸을 나무에 기대다""]"
against_wall,snapshot_match,0,19832,[],"[""against_wall""]","[""동작 1 / 몸 / 기대다 / 몸을 벽에 기대다""]"
agnese_sanctis,snapshot_match,4,95,[],"[""Agnese_Sanctis""]","[""작품 / 캐릭터 / 어떤 마술과학의 시리즈 / 아녜제 상크티스""]"
ahegao,snapshot_match,0,28564,[],"[""ahegao""]","[""!섹스 / 섹스 / 상황 / 여자가 아헤가오를 한다""]"
aiming,snapshot_match,0,16707,[],"[""aiming""]","[""행동 / 동명사 / 동명사 ㅈ / 무엇을 조준하다""]"
ain(one_piece),not_in_snapshot,,,[],"[""Ain(One_Piece)""]","[""작품 / 캐릭터 / 원피스 / 아인""]"
